trial,CID,SID,GID,TID
ES18,162538,3,1831374,8281
ES20,162538,3,1831374,10553
SA5,7589,86,1987914,8284
SA7,7589,86,1987914,10556
SA8,7589,86,1987914,12010
SA12,7589,86,1987914,17310
SA13,7589,86,1987914,18235
SA14,7589,86,1987914,18644
SA15,7589,86,1987914,18998
SA21,7589,86,1987914,42581
SA5,206668,6,1995922,8284
SA7,206668,6,1995922,10556
ES22,207934,221,2011449,13539
ES23,207934,221,2011449,14991
ES3,254741,5,2099196,6862
ES4,254741,5,2099196,6863
ES25,281478,19,2201664,17309
ES26,281478,19,2201664,40007
SA9,289279,51,2243654,13892
SA10,289279,51,2243654,14993
ES18,8890,1549,2430154,8281
ES21,8890,1549,2430154,12008
ES22,8890,1549,2430154,13539
ES23,8890,1549,2430154,14991
ES26,8890,1549,2430154,40007
ES27,8890,1549,2430154,40205
ES28,8890,1549,2430154,40420
ES29,8890,1549,2430154,40590
ES30,8890,1549,2430154,40807
ES31,8890,1549,2430154,41098
ES32,8890,1549,2430154,41481
ES33,8890,1549,2430154,41928
ES34,8890,1549,2430154,42576
SA8,8890,1549,2430154,12010
SA11,8890,1549,2430154,16447
SA12,8890,1549,2430154,17310
SA13,8890,1549,2430154,18235
SA14,8890,1549,2430154,18644
SA15,8890,1549,2430154,18998
ES22,287525,32,2448313,13539
ES23,287525,32,2448313,14991
SA9,287525,32,2448313,13892
SA10,287525,32,2448313,14993
ES23,260140,83,2448314,14991
SA9,260140,83,2448314,13892
SA10,260140,83,2448314,14993
ES22,260140,84,2448315,13539
SA9,260140,84,2448315,13892
ES25,20589,58,2450184,17309
ES26,20589,58,2450184,40007
ES22,114906,205,2464236,13539
ES23,114906,205,2464236,14991
ES24,206941,157,2484301,16449
ES25,206941,157,2484301,17309
ES26,206941,157,2484301,40007
ES25,210539,110,2487807,17309
ES26,210539,110,2487807,40007
ES23,114906,319,2588632,14991
ES24,114906,319,2588632,16449
ES22,384555,1,2668073,13539
ES23,384555,1,2668073,14991
ES24,384555,1,2668073,16449
ES25,384555,1,2668073,17309
ES26,384555,1,2668073,40007
SA10,287530,49,2673154,14993
SA11,287530,49,2673154,16447
SA11,120770,946,3574435,16447
SA12,120770,946,3574435,17310
SA10,158452,134,3616959,14993
SA11,158452,134,3616959,16447
ES24,160278,68,3617481,16449
ES26,160278,68,3617481,40007
ES27,160278,68,3617481,40205
ES28,160278,68,3617481,40420
SA10,209899,73,3630905,14993
SA11,209899,73,3630905,16447
SA10,209917,85,3630914,14993
SA11,209917,85,3630914,16447
SA10,313200,45,3686333,14993
SA11,313200,45,3686333,16447
ES27,417450,1,3820458,40205
ES28,417450,1,3820458,40420
ES24,320356,163,3822784,16449
ES29,320356,163,3822784,40590
ES30,320356,163,3822784,40807
ES31,320356,163,3822784,41098
ES32,320356,163,3822784,41481
ES33,320356,163,3822784,41928
ES34,320356,163,3822784,42576
ES35,320356,163,3822784,43890
ES36,320356,163,3822784,44617
SA11,320356,163,3822784,16447
SA11,306489,212,3822952,16447
SA12,306489,212,3822952,17310
ES27,425470,1,3822974,40205
ES28,425470,1,3822974,40420
ES25,304373,72,3827748,17309
ES26,304373,72,3827748,40007
ES25,301830,48,3827757,17309
ES26,301830,48,3827757,40007
ES25,279807,53,3827768,17309
SA11,279807,53,3827768,16447
ES25,257058,29,3830032,17309
ES26,257058,29,3830032,40007
ES25,206924,125,3830034,17309
ES26,206924,125,3830034,40007
ES25,302322,59,3830068,17309
ES26,302322,59,3830068,40007
ES25,207985,132,3830198,17309
ES26,207985,132,3830198,40007
SA11,279807,61,3855011,16447
SA12,279807,61,3855011,17310
SA16,279807,61,3855011,19373
SA17,279807,61,3855011,19658
SA18,279807,61,3855011,19373
SA19,279807,61,3855011,120235
SA20,279807,61,3855011,120529
SA11,279826,68,3855122,16447
SA12,279826,68,3855122,17310
SA22,320358,57,3872194,43891
SA23,320358,57,3872194,44618
SA24,320358,57,3872194,45329
ES24,67613,97,4057141,16449
ES26,67613,97,4057141,40007
ES28,343585,63,4755014,40420
ES35,343585,63,4755014,43890
ES36,343585,63,4755014,44617
ES28,361684,201,4763834,40420
ES31,361684,201,4763834,41098
ES27,420703,30,4905617,40205
ES29,420703,30,4905617,40590
ES32,420703,30,4905617,41481
SA16,422247,36,4906328,19373
SA18,422247,36,4906328,19373
SA16,454533,370,4948491,19373
SA18,454533,370,4948491,19373
SA5,39361,403,4970584,8284
SA7,39361,403,4970584,10556
SA16,306489,341,5174606,19373
SA17,306489,341,5174606,19658
SA18,306489,341,5174606,19373
SA16,428648,78,5342983,19373
SA18,428648,78,5342983,19373
SA16,428603,31,5343204,19373
SA18,428603,31,5343204,19373
SA16,428603,29,5343206,19373
SA18,428603,29,5343206,19373
SA16,428600,40,5343245,19373
SA18,428600,40,5343245,19373
SA16,428589,38,5343379,19373
SA18,428589,38,5343379,19373
SA16,428553,130,5343410,19373
SA18,428553,130,5343410,19373
SA16,426091,36,5344030,19373
SA18,426091,36,5344030,19373
SA16,425892,39,5344309,19373
SA18,425892,39,5344309,19373
SA16,425889,42,5344321,19373
SA18,425889,42,5344321,19373
SA16,425873,61,5344385,19373
SA18,425873,61,5344385,19373
SA16,425873,59,5344387,19373
SA18,425873,59,5344387,19373
SA16,425852,45,5344429,19373
SA18,425852,45,5344429,19373
SA16,425852,42,5344432,19373
SA18,425852,42,5344432,19373
SA16,425817,62,5344449,19373
SA18,425817,62,5344449,19373
SA16,423283,96,5344898,19373
SA18,423283,96,5344898,19373
SA16,423283,86,5344908,19373
SA18,423283,86,5344908,19373
SA16,423249,54,5344976,19373
SA18,423249,54,5344976,19373
SA16,423191,42,5345109,19373
SA18,423191,42,5345109,19373
SA16,423186,34,5345116,19373
SA18,423186,34,5345116,19373
SA16,423186,30,5345120,19373
SA18,423186,30,5345120,19373
SA16,423185,24,5345121,19373
SA18,423185,24,5345121,19373
SA16,414559,29,5345783,19373
SA18,414559,29,5345783,19373
SA16,411101,55,5345899,19373
SA18,411101,55,5345899,19373
SA16,411101,52,5345902,19373
SA18,411101,52,5345902,19373
SA16,394715,144,5347445,19373
SA18,394715,144,5347445,19373
SA16,394699,40,5347450,19373
SA18,394699,40,5347450,19373
ES29,459355,73,5390612,40590
ES30,459355,73,5390612,40807
ES34,459355,73,5390612,42576
SA22,459355,73,5390612,43891
ES29,448408,124,5398190,40590
ES30,448408,124,5398190,40807
ES29,448402,63,5398434,40590
ES30,448402,63,5398434,40807
ES30,448400,62,5398530,40807
ES31,448400,62,5398530,41098
ES32,448400,62,5398530,41481
ES33,448400,62,5398530,41928
ES34,448400,62,5398530,42576
ES35,448400,62,5398530,43890
SA16,373182,235,5421764,19373
SA18,373182,235,5421764,19373
SA16,386097,154,5421959,19373
SA18,386097,154,5421959,19373
SA16,386344,133,5422046,19373
SA18,386344,133,5422046,19373
SA17,473251,30,5435924,19658
SA19,473251,30,5435924,120235
SA20,473251,30,5435924,120529
SA16,394070,111,5636557,19373
SA18,394070,111,5636557,19373
SA16,366109,125,5636560,19373
SA18,366109,125,5636560,19373
SA19,506830,99,6001014,120235
SA20,506830,99,6001014,120529
SA19,496096,39,6001673,120235
SA20,496096,39,6001673,120529
SA19,496096,41,6001675,120235
SA20,496096,41,6001675,120529
SA21,520212,13,6174860,42581
SA24,520212,13,6174860,45329
ES33,520227,46,6174889,41928
SA21,520227,46,6174889,42581
ES34,520792,37,6175067,42576
SA21,520792,37,6175067,42581
SA21,516634,45,6176225,42581
SA24,516634,45,6176225,45329
SA25,516634,45,6176225,46172
ES33,516682,16,6176334,41928
SA21,516682,16,6176334,42581
ES34,516702,40,6176368,42576
ES37,516702,40,6176368,45328
ES38,516702,40,6176368,46171
ES33,516641,62,6179255,41928
SA21,516641,62,6179255,42581
ES34,524381,89,6332122,42576
ES37,524381,89,6332122,45328
ES34,524510,63,6333158,42576
SA22,524510,63,6333158,43891
SA23,524510,63,6333158,44618
ES34,525424,84,6341870,42576
ES37,525424,84,6341870,45328
ES38,525424,84,6341870,46171
SA21,534026,212,6624418,42581
SA24,534026,212,6624418,45329
SA22,537240,51,6683244,43891
SA25,537240,51,6683244,46172
SA22,536958,48,6684042,43891
SA25,536958,48,6684042,46172
ES36,557028,13,6933502,44617
ES38,557028,13,6933502,46171
ES35,414815,163,7213309,43890
ES36,414815,163,7213309,44617
ES4,6831,33,775,6863
ES8,7593,18,2166,6867
ES14,7593,5,2167,5431
SA1,7624,0,2457,5428
SA7,709,1,3400,10556
ES3,7691,1,3889,6862
ES2,7691,33,5131,6861
ES7,6977,3,6387,6866
ES10,7799,0,12961,6869
ES7,7691,39,13350,6866
ES1,7691,10,13646,6860
ES6,7506,5,13662,6865
ES3,7676,13,13767,6862
ES3,7027,23,14431,6862
ES12,5458,1,15292,3034
SA1,2565,3,16170,5428
ES8,7739,4,19627,6867
