"Trial.name","eswyt","eswyt.no","Occ","Loc_no","Country","Loc_desc","Cycle","CID","SID","Gen_name","Trait_no","Trait.name","Value","EMS","SE","Unit","cidsid"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",32,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320352,130,"SERI.1B*2/3/KAUZ*2/BOW//KAUZ",144,"GRAIN_YIELD",7.535,0.209,0.457,"t/ha","320352_130"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",33,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320352,130,"SERI.1B*2/3/KAUZ*2/BOW//KAUZ",144,"GRAIN_YIELD",6.901,0.169,0.411,"t/ha","320352_130"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.956,0.057,0.239,"t/ha","320356_163"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.856,0.036,0.499,"t/ha","320356_163"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",29,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.913,0.061,0.488,"t/ha","320356_163"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",32,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",7.15,0.209,0.457,"t/ha","320356_163"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",33,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.705,0.169,0.411,"t/ha","320356_163"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",40,42141,"MEXICO","CIANO-FLAT-5IR","2011",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",5.758,0.041,0.351,"t/ha","320356_163"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",41,42141,"MEXICO","CIANO-FLAT-5IR","2011",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",3.728,0.103,0.32,"t/ha","320356_163"
"34TH ELITE SPRING WHEAT YT",34,"eswyt.34",18,42140,"MEXICO","CIANO-BED-5IR","2013",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.713,0.015,0.437,"t/ha","320356_163"
"34TH ELITE SPRING WHEAT YT",34,"eswyt.34",19,42141,"MEXICO","CIANO-FLAT-5IR","2013",320356,163,"PRL/2*PASTOR",144,"GRAIN_YIELD",6.647,0.002,0.262,"t/ha","320356_163"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343253,56,"PRINIA/BAV92//HUITES",144,"GRAIN_YIELD",7.412,0.012,0.472,"t/ha","343253_56"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343253,56,"PRINIA/BAV92//HUITES",144,"GRAIN_YIELD",6.878,0.184,0.679,"t/ha","343253_56"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343273,672,"BL 1496/MILAN//PI 610750",144,"GRAIN_YIELD",8.292,0.136,0.369,"t/ha","343273_672"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343273,672,"BL 1496/MILAN//PI 610750",144,"GRAIN_YIELD",9.122,0.195,0.442,"t/ha","343273_672"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343273,796,"BL 1496/MILAN//PI 610750",144,"GRAIN_YIELD",7.897,0.012,0.472,"t/ha","343273_796"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343273,796,"BL 1496/MILAN//PI 610750",144,"GRAIN_YIELD",7.208,0.184,0.679,"t/ha","343273_796"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343315,143,"HUIRIVIS",144,"GRAIN_YIELD",8.341,0.136,0.369,"t/ha","343315_143"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343315,143,"HUIRIVIS",144,"GRAIN_YIELD",9.144,0.195,0.442,"t/ha","343315_143"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343315,144,"HUIRIVIS #1",144,"GRAIN_YIELD",7.904,0.012,0.472,"t/ha","343315_144"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343315,144,"HUIRIVIS #1",144,"GRAIN_YIELD",7.664,0.184,0.679,"t/ha","343315_144"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343340,113,"HD29/2*WEAVER/3/VEE/PJN//2*TUI/4/MILAN",144,"GRAIN_YIELD",7.692,0.012,0.472,"t/ha","343340_113"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343340,113,"HD29/2*WEAVER/3/VEE/PJN//2*TUI/4/MILAN",144,"GRAIN_YIELD",7.071,0.184,0.679,"t/ha","343340_113"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343361,188,"MILAN/S87230//HUITES",144,"GRAIN_YIELD",7.824,0.012,0.472,"t/ha","343361_188"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343361,188,"MILAN/S87230//HUITES",144,"GRAIN_YIELD",6.82,0.184,0.679,"t/ha","343361_188"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,353,"MUTUS",144,"GRAIN_YIELD",8.297,0.136,0.369,"t/ha","343362_353"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,353,"MUTUS",144,"GRAIN_YIELD",9.314,0.195,0.442,"t/ha","343362_353"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",343362,372,"MUTUS",144,"GRAIN_YIELD",6.506,0.057,0.239,"t/ha","343362_372"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",343362,372,"MUTUS",144,"GRAIN_YIELD",6.746,0.036,0.499,"t/ha","343362_372"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,383,"MUTUS #1",144,"GRAIN_YIELD",8.303,0.136,0.369,"t/ha","343362_383"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,383,"MUTUS #1",144,"GRAIN_YIELD",9.784,0.195,0.442,"t/ha","343362_383"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,411,"MUTUS",144,"GRAIN_YIELD",8.299,0.136,0.369,"t/ha","343362_411"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343362,411,"MUTUS",144,"GRAIN_YIELD",9.352,0.195,0.442,"t/ha","343362_411"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343362,412,"MUTUS",144,"GRAIN_YIELD",8.149,0.012,0.472,"t/ha","343362_412"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343362,412,"MUTUS",144,"GRAIN_YIELD",7.75,0.184,0.679,"t/ha","343362_412"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343411,60,"BAV92/PRINIA//TAM200/PRL",144,"GRAIN_YIELD",8.15,0.012,0.472,"t/ha","343411_60"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343411,60,"BAV92/PRINIA//TAM200/PRL",144,"GRAIN_YIELD",7.864,0.184,0.679,"t/ha","343411_60"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343580,171,"SITE/MO//MILAN/3/PBW343",144,"GRAIN_YIELD",7.064,0.012,0.472,"t/ha","343580_171"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343580,171,"SITE/MO//MILAN/3/PBW343",144,"GRAIN_YIELD",7.656,0.184,0.679,"t/ha","343580_171"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343583,212,"SITE/MO//PASTOR/3/TILHI",144,"GRAIN_YIELD",8.077,0.012,0.472,"t/ha","343583_212"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343583,212,"SITE/MO//PASTOR/3/TILHI",144,"GRAIN_YIELD",7.786,0.184,0.679,"t/ha","343583_212"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",343583,219,"SITE/MO//PASTOR/3/TILHI",144,"GRAIN_YIELD",6.799,0.057,0.239,"t/ha","343583_219"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",343583,219,"SITE/MO//PASTOR/3/TILHI",144,"GRAIN_YIELD",6.139,0.036,0.499,"t/ha","343583_219"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343585,61,"KACHU",144,"GRAIN_YIELD",8.197,0.012,0.472,"t/ha","343585_61"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343585,61,"KACHU",144,"GRAIN_YIELD",7.914,0.184,0.679,"t/ha","343585_61"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343585,62,"KACHU",144,"GRAIN_YIELD",7.805,0.012,0.472,"t/ha","343585_62"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343585,62,"KACHU",144,"GRAIN_YIELD",9.545,0.184,0.679,"t/ha","343585_62"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343585,63,"KACHU #1",144,"GRAIN_YIELD",8.792,0.136,0.369,"t/ha","343585_63"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343585,63,"KACHU #1",144,"GRAIN_YIELD",9.029,0.195,0.442,"t/ha","343585_63"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343585,64,"KACHU",144,"GRAIN_YIELD",8.984,0.136,0.369,"t/ha","343585_64"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343585,64,"KACHU",144,"GRAIN_YIELD",9.747,0.195,0.442,"t/ha","343585_64"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343588,200,"KAUZ//ALTAR 84/AOS/3/PASTOR/4/TILHI",144,"GRAIN_YIELD",7.475,0.012,0.472,"t/ha","343588_200"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343588,200,"KAUZ//ALTAR 84/AOS/3/PASTOR/4/TILHI",144,"GRAIN_YIELD",6.031,0.184,0.679,"t/ha","343588_200"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343597,111,"WEAVER/3/SAPI/TEAL//HUI/4/CROC_1/AE.SQUARROSA (213)//PGO/5/SKAUZ*2/SRMA",144,"GRAIN_YIELD",8.04,0.012,0.472,"t/ha","343597_111"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343597,111,"WEAVER/3/SAPI/TEAL//HUI/4/CROC_1/AE.SQUARROSA (213)//PGO/5/SKAUZ*2/SRMA",144,"GRAIN_YIELD",7.17,0.184,0.679,"t/ha","343597_111"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343597,130,"WEAVER/3/SAPI/TEAL//HUI/4/CROC_1/AE.SQUARROSA (213)//PGO/5/SKAUZ*2/SRMA",144,"GRAIN_YIELD",8.544,0.136,0.369,"t/ha","343597_130"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343597,130,"WEAVER/3/SAPI/TEAL//HUI/4/CROC_1/AE.SQUARROSA (213)//PGO/5/SKAUZ*2/SRMA",144,"GRAIN_YIELD",9.797,0.195,0.442,"t/ha","343597_130"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343678,161,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",7.525,0.012,0.472,"t/ha","343678_161"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343678,161,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",7.617,0.184,0.679,"t/ha","343678_161"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343678,162,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",7.427,0.012,0.472,"t/ha","343678_162"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343678,162,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",7.44,0.184,0.679,"t/ha","343678_162"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343678,166,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",7.636,0.136,0.369,"t/ha","343678_166"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343678,166,"CS/TH.SC//3*PVN/3/MIRLO/BUC/4/MILAN/5/TILHI",144,"GRAIN_YIELD",8.882,0.195,0.442,"t/ha","343678_166"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343726,111,"KAUZ*2/TRAP//KAUZ/3/PASTOR/4/SKAUZ*2/SRMA",144,"GRAIN_YIELD",7.421,0.012,0.472,"t/ha","343726_111"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343726,111,"KAUZ*2/TRAP//KAUZ/3/PASTOR/4/SKAUZ*2/SRMA",144,"GRAIN_YIELD",7.386,0.184,0.679,"t/ha","343726_111"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343741,171,"KAUZ*2/BOW//KAUZ/3/BAV92/4/PFAU/WEAVER",144,"GRAIN_YIELD",7.802,0.012,0.472,"t/ha","343741_171"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343741,171,"KAUZ*2/BOW//KAUZ/3/BAV92/4/PFAU/WEAVER",144,"GRAIN_YIELD",8.143,0.184,0.679,"t/ha","343741_171"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343756,167,"KAUZ*2/MNV//KAUZ/3/MILAN/4/BAV92",144,"GRAIN_YIELD",8.795,0.136,0.369,"t/ha","343756_167"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343756,167,"KAUZ*2/MNV//KAUZ/3/MILAN/4/BAV92",144,"GRAIN_YIELD",9.154,0.195,0.442,"t/ha","343756_167"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343777,124,"REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES",144,"GRAIN_YIELD",8.058,0.012,0.472,"t/ha","343777_124"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343777,124,"REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES",144,"GRAIN_YIELD",8.444,0.184,0.679,"t/ha","343777_124"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343777,139,"REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES",144,"GRAIN_YIELD",8.241,0.012,0.472,"t/ha","343777_139"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343777,139,"REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES",144,"GRAIN_YIELD",8.456,0.184,0.679,"t/ha","343777_139"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343838,421,"ATTILA/3*BCN//BAV92/3/PASTOR",144,"GRAIN_YIELD",8.509,0.136,0.369,"t/ha","343838_421"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343838,421,"ATTILA/3*BCN//BAV92/3/PASTOR",144,"GRAIN_YIELD",9.374,0.195,0.442,"t/ha","343838_421"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343838,472,"ATTILA/3*BCN//BAV92/3/PASTOR",144,"GRAIN_YIELD",7.422,0.012,0.472,"t/ha","343838_472"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343838,472,"ATTILA/3*BCN//BAV92/3/PASTOR",144,"GRAIN_YIELD",8.081,0.184,0.679,"t/ha","343838_472"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343842,268,"ATTILA/3*BCN//BAV92/3/TILHI",144,"GRAIN_YIELD",8.75,0.012,0.472,"t/ha","343842_268"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",343842,268,"ATTILA/3*BCN//BAV92/3/TILHI",144,"GRAIN_YIELD",7.753,0.184,0.679,"t/ha","343842_268"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343843,141,"ATTILA/3*BCN*2//BAV92",144,"GRAIN_YIELD",9.011,0.136,0.369,"t/ha","343843_141"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343843,141,"ATTILA/3*BCN*2//BAV92",144,"GRAIN_YIELD",9.622,0.195,0.442,"t/ha","343843_141"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343884,176,"KETUPA/PASTOR//BAV92",144,"GRAIN_YIELD",9.192,0.136,0.369,"t/ha","343884_176"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343884,176,"KETUPA/PASTOR//BAV92",144,"GRAIN_YIELD",9.75,0.195,0.442,"t/ha","343884_176"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343924,197,"CAR//KAL/BB/3/NAC/4/VEE/PJN//2*TUI/5/MILAN",144,"GRAIN_YIELD",8.129,0.136,0.369,"t/ha","343924_197"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",343924,197,"CAR//KAL/BB/3/NAC/4/VEE/PJN//2*TUI/5/MILAN",144,"GRAIN_YIELD",10.133,0.195,0.442,"t/ha","343924_197"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",344968,251,"CROC_1/AE.SQUARROSA (205)//BORL95/3/PASTOR",144,"GRAIN_YIELD",8.114,0.012,0.472,"t/ha","344968_251"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",344968,251,"CROC_1/AE.SQUARROSA (205)//BORL95/3/PASTOR",144,"GRAIN_YIELD",6.788,0.184,0.679,"t/ha","344968_251"
